"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Matrenin P.V.; Iumanova I.F.; Khalyasmaa A.I.","Matrenin, Pavel V. (56826034700); Iumanova, Irina F. (60423102400); Khalyasmaa, Alexandra I. (55161912000)","56826034700; 60423102400; 55161912000","Conceptual Architecture of a Trustworthy Wind and Photovoltaic Power Forecasting System: A Systematic Review and Design","2026","Inventions","11","1","15","","","0","10.3390/inventions11010015","https://www.scopus.com/pages/publications/105031415330?origin=resultslist","Accurate and trustworthy forecasting of wind and photovoltaic power generation is essential for the reliable operation and planning of modern power systems. Although recent machine-learning-based forecasting solutions increasingly incorporate elements of trustworthy artificial intelligence, such as explainability, uncertainty quantification, robustness, drift monitoring, and machine learning operations, these components are typically introduced in a fragmented manner and remain weakly integrated at the architectural level, which limits their applicability in real operational environments. This paper presents a systematic review of 59 peer-reviewed journal articles published between 2019 and 2025, conducted in accordance with the PRISMA 2020 guidelines. The review includes studies focused on wind and photovoltaic power forecasting that report system architectures, frameworks, or end-to-end pipelines incorporating at least one trust-related attribute. The literature search was performed using Scopus, IEEE Xplore, MDPI, and ScienceDirect. Using a narrative and architectural synthesis, the review identifies six structural gaps hindering industrial deployment: the absence of semantic data models, shallow model-centric explainability, drift monitoring without governance mechanisms, lack of automated model lifecycle management, insufficient robustness to real-world data defects, and the absence of integrated end-to-end architectures. The evidence base is limited by the heterogeneity of architectural descriptions and the predominantly qualitative nature of reported implementations. Based on these findings, a high-level reference architecture for a trustworthy AI-based forecasting system is proposed. The architecture formalizes trustworthiness as a system-level property and integrates semantic, technological, and functional trust layers within a unified data and model lifecycle, supporting reproducible, interpretable, and operationally reliable forecasting for both wind and photovoltaic power plants. © 2026 by the authors.","drift monitoring; explainable AI; MLOps; photovoltaic forecasting; semantic modeling; trustworthy AI; uncertainty quantification; wind power forecasting","Architecture; Computer architecture; Information management; Learning systems; Life cycle; Machine learning; Technological forecasting; Drift monitoring; Explainable AI; MLOp; Photovoltaic forecasting; Photovoltaic power; Photovoltaics; Semantic modelling; Trustworthy AI; Uncertainty quantifications; Wind power forecasting; Semantics","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105031415330"
"Amirkhanova G.; Amirkhanov B.; Tyulepberdinova G.; Ishmurzin T.","Amirkhanova, Gulshat (57192719131); Amirkhanov, Bayurzham (57215412922); Tyulepberdinova, Gulnur (57194439539); Ishmurzin, Timur (59669975400)","57192719131; 57215412922; 57194439539; 59669975400","Application of Machine Learning Algorithms in Digital Twin Monitoring Systems: An Overview of Approaches, Methods, and Prospects","2024","Proceedings of the 3rd International Conference on Intelligent Computing and Next Generation Networks, ICNGN 2024","","","","","","11","10.1109/ICNGN63705.2024.10871832","https://www.scopus.com/pages/publications/86000027985?origin=resultslist","Digital Twins represent virtual replicas of real-world objects, processes, or systems, enabling continuous real-time monitoring, dynamic adaptation, and predictive analytics. Their integration has become central in industrial, urban, and transportation domains under the paradigms of Industry 4.0, the Industrial Internet of Things (IIoT), and smart cities. However, effectively harnessing the torrents of time-series data and complex system states integral to Digital Twins (DTs) requires advanced analytical tools. Machine learning (ML) methods—ranging from classical ensemble models to deep learning architectures and reinforcement learning—provide powerful mechanisms for anomaly detection, failure prediction, operational optimization, and scenario modeling. This review explores the essential ML algorithms, their application contexts, and the supportive infrastructures required for implementing ML-driven DT solutions. We also discuss interpretability techniques, address security and concept drift challenges, examine the role of MLOps in ensuring reliable deployment, and highlight future research directions, including physics-informed ML, multimodal data integration, and advanced transformers for time-series forecasting. ©2024 IEEE.","Anomaly Detection; Digital Twin; IIoT; Industry 4.0; Machine Learning; Predictive Maintenance; Process Optimization; Reinforcement Learning; Scenario Modeling; Time-Series Analysis","Continuous time systems; Contrastive Learning; Crushed stone plants; Deep learning; Deep reinforcement learning; Federated learning; Predictive analytics; Reinforcement learning; Solar power plants; Time series; Urban transportation; Anomaly detection; Industrial internet of thing; Machine learning algorithms; Machine-learning; Monitoring system; Predictive maintenance; Process optimisation; Reinforcement learnings; Scenario models; Time-series analysis; Predictive maintenance","Conference paper","Final","","Scopus","2-s2.0-86000027985"
"Bayram F.; Ahmed B.S.; Hallin E.","Bayram, Firas (57222119151); Ahmed, Bestoun S. (56591882100); Hallin, Erik (57847489500)","57222119151; 56591882100; 57847489500","End-to-end data quality-driven framework for machine learning in production environment","2026","Heliyon","12","1","e44416","","","0","10.1016/j.heliyon.2025.e44416","https://www.scopus.com/pages/publications/105025701238?origin=resultslist","This paper introduces a novel end-to-end framework that efficiently integrates data quality assessment with machine learning (ML) model operations in real-time production environments. While existing approaches treat data quality assessment and ML systems as isolated processes, our framework addresses the critical gap between theoretical methods and practical implementation by combining dynamic drift detection, adaptive data quality metrics, and MLOps into a cohesive, lightweight system. The key innovation lies in its operational efficiency, enabling real-time, quality-driven ML decision-making with minimal computational overhead. We validate the framework in a steel manufacturing company’s Electroslag Remelting (ESR) vacuum pumping process, demonstrating a 12 % improvement in model performance (R2 = 94 %) and a fourfold reduction in prediction latency. By exploring the impact of data quality acceptability thresholds, we provide actionable insights into balancing data quality standards and predictive performance in industrial applications. This framework represents a significant advancement in MLOps, offering a robust solution for time-sensitive, data-driven decision-making in dynamic industrial environments. © 2025 The Author(s).","Data quality; Data-driven AI; Drift detection; Machine learning; MLOps","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025701238"
"Yun J.; Kwak W.; Kim J.","Yun, Junwoo (58582495300); Kwak, Wonryeol (58584266200); Kim, Joohyun (58582495400)","58582495300; 58584266200; 58582495400","Multi Datasource LTV User Representation (MDLUR)","2023","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","5500","5508","6","10.1145/3580305.3599871","https://www.scopus.com/pages/publications/85171368738?origin=resultslist","In this paper, we propose a novel user representation methodology called Multi Datasource LTV User Representation (MDLUR). Our model aims to establish a universal user embedding for downstream tasks, specifically lifetime value (LTV) prediction on specific days after installation. MDLUR uses a combination of various data sources, including user information, portrait, and behavior data from the first n days after installation of the social casino game ""Club Vegas Slots""developed by Bagelcode. This model overcomes the limitation of conventional approaches that struggle with effectively utilizing various data sources or accurately capturing interactions in sparse datasets. MDLUR adopts unique model architectures tailored to each data source. Coupled with robust dimensionality reduction techniques, this model succeeds in the effective integration of insights from various data sources. Comprehensive experiments on real-world industrial data demonstrate the superiority of the proposed methods compared to SOTA baselines including Two-Stage XGBoost, WhalesDector, MSDMT, and BST. Not only did it outperform these models, but it has also been efficiently deployed and tested in a live environment using MLOps demonstrating its maintainability. The representation may potentially be applied to a wide range of downstream tasks, including conversion, churn, and retention prediction, as well as user segmentation and item recommendation.  © 2023 ACM.","dimensionality reduction; ltv prediction; mobile game; purchase prediction; sparse data embedding; user representation","Embeddings; Data embedding; Data-source; Dimensionality reduction; Lifetime values; Ltv prediction; Mobile games; Purchase prediction; Sparse data; Sparse data embedding; User representation; Forecasting","Conference paper","Final","","Scopus","2-s2.0-85171368738"
"Li P.; Mavromatis I.; Khan A.","Li, Peizheng (57222485779); Mavromatis, Ioannis (57201548528); Khan, Aftab (57188562365)","57222485779; 57201548528; 57188562365","Past, Present, Future: A Comprehensive Exploration of AI Use Cases in the UMBRELLA IoT Testbed","2024","2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2024","","","","787","792","2","10.1109/PerComWorkshops59983.2024.10502658","https://www.scopus.com/pages/publications/85192459326?origin=resultslist","UMBRELLA is a large-scale, open-access Internet of Things (IoT) ecosystem incorporating over 200 multi-sensor multi-wireless nodes, 20 collaborative robots, and edge-intelligence-enabled devices. This paper provides a guide to the implemented and prospective artificial intelligence (AI) capabilities of UMBRELLA in real-world IoT systems. Four existing UMBRELLA applications are presented in detail: 1) An automated streetlight monitoring for detecting issues and triggering maintenance alerts; 2) A Digital twin of building environments providing enhanced air quality sensing with reduced cost; 3) A large-scale Federated Learning framework for reducing communication overhead; and 4) An intrusion detection for containerised applications identifying malicious activities. Additionally, the potential of UMBRELLA is outlined for future smart city and multi-robot crowdsensing applications enhanced by semantic communications and multi-agent planning. Finally, to realise the above use-cases we discuss the need for a tailored MLOps platform to automate UMBRELLA's model pipelines and establish trust. © 2024 IEEE.","edge intelligence; IoT; MLOps; robotics; use cases; wireless communication","Air quality; Collaborative robots; Industrial robots; Intelligent robots; Intrusion detection; Multi agent systems; Multipurpose robots; Robot programming; Semantics; Collaborative robots; Edge intelligence; Large-scales; MLOp; Multi sensor; OpenAccess; Robot intelligences; Use case; Wireless communications; Wireless nodes; Internet of things","Conference paper","Final","","Scopus","2-s2.0-85192459326"
"Haug M.; Azamnouri A.; Fritz M.; Woltmann L.; Schriever C.; Wagner S.","Haug, Markus (57221288954); Azamnouri, Aidin (57205502719); Fritz, Manuel (57190164931); Woltmann, Lucas (57195837074); Schriever, Christian (60168395500); Wagner, Stefan (55286051900)","57221288954; 57205502719; 57190164931; 57195837074; 60168395500; 55286051900","MLOps Adoption in the Manufacturing Industry: A Case Study with Zeiss SMT","2026","Communications in Computer and Information Science","2602 CCIS","","","16","36","0","10.1007/978-3-032-07313-6_2","https://www.scopus.com/pages/publications/105020671713?origin=resultslist","MLOps promises to help practitioners integrate ML features into their software systems. However, practitioners are struggling to adopt the MLOps paradigm. In this case study, we interviewed 12 practitioners at Zeiss SMT, a low-volume optics manufacturing company, about challenges and solutions in their adoption of MLOps. Our results identify 13 challenges, the key one being security requirements prohibiting the use of cloud-based platforms. We also identify 13 solutions practitioners use to cope with these challenges. Our results highlight important areas for future work to streamline MLOps adoption in the manufacturing industry. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","case study; challenges; manufacturing; MLOps","Case-studies; Challenge; Cloud based platforms; Manufacturing companies; Manufacturing industries; MLOp; Security requirements; Software-systems; Network security","Conference paper","Final","","Scopus","2-s2.0-105020671713"
"Long Y.; Kroeger S.; Zaeh M.F.; Brintrup A.","Long, Yunbo (59361452700); Kroeger, Sebastian (57751458800); Zaeh, Michael F. (14016941300); Brintrup, Alexandra (8837745700)","59361452700; 57751458800; 14016941300; 8837745700","Leveraging synthetic data to tackle machine learning challenges in supply chains: challenges, methods, applications, and research opportunities","2025","International Journal of Production Research","","","","","","32","10.1080/00207543.2024.2447927","https://www.scopus.com/pages/publications/85214388396?origin=resultslist","Machine learning (ML) has the potential to improve various supply chain management (SCM) tasks, namely demand forecasting, risk management, inventory management, production planning and control, supply network reconstruction, and distribution and logistics. However, the industrial application of ML in supply chains faces many challenges, particularly in data privacy and data scarcity. Synthetic data, which is artificially generated to mimic real-world data patterns, has shown promise in overcoming similar challenges in fields such as healthcare and finance. However, the application of synthetic data in the context of supply chains remains limited. This publication aims to analyze the challenges of machine learning operations (MLOps) for supply chain tasks and explain how synthetic data can address these challenges in a supply chain context. Moreover, the publication aims to identify suitable approaches to generate synthetic supply chain data. Based on the analysis, a research agenda is proposed as a guideline for future research activities to enable the use of synthetic data in the context of supply chains. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","data generation; generative AI; Machine learning; MLOps; supply chain; synthetic data","Chain management; Data generation; Demand forecasting; Generative AI; Machine learning operation; Machine-learning; Management tasks; Research opportunities; Synthetic data","Article","Article in press","","Scopus","2-s2.0-85214388396"
"Moreschini S.; Arvanitou E.-M.; Kanidou E.-P.; Nikolaidis N.; Su R.; Ampatzoglou A.; Chatzigeorgiou A.; Lenarduzzi V.","Moreschini, Sergio (57196187277); Arvanitou, Elvira-Maria (55209903200); Kanidou, Elisavet-Persefoni (60087459800); Nikolaidis, Nikolaos (57212149454); Su, Ruoyu (58602252500); Ampatzoglou, Apostolos (16027681600); Chatzigeorgiou, Alexander (6701702023); Lenarduzzi, Valentina (55348964400)","57196187277; 55209903200; 60087459800; 57212149454; 58602252500; 16027681600; 6701702023; 55348964400","The Evolution of Technical Debt from DevOps to Generative AI: A multivocal literature review","2026","Journal of Systems and Software","231","","112599","","","2","10.1016/j.jss.2025.112599","https://www.scopus.com/pages/publications/105015139846?origin=resultslist","Background: The rapid integration of Artificial Intelligence (AI) – including Machine Learning (ML) and Generative AI – into software systems is reshaping the software development lifecycle. As AI-driven systems become more dynamic and complex, traditional approaches to Technical Debt (TD) management face increasing limitations. Simultaneously, AI-assisted development introduces new forms of TD, particularly in relation to maintainability, explainability, and data governance. Objective: This study aims to explore how Technical Debt Management (TDM) must adapt in the context of AI-enhanced software development. It investigates (1) the evolution of TD in AI-driven systems, and (2) the implications of using AI technologies within the software engineering process. Methods: We conducted a multivocal literature review, combining insights from both peer-reviewed research and industry sources. Following established guidelines, we systematically analyzed 61 primary sources, categorized TD types and management activities, and identified key challenges and practices emerging in the AI era. Results: Our findings reveal that data-related, infrastructure, and pipeline-related TD are particularly prevalent in ML systems. Machine Learning Operations (MLOps) practices are increasingly recognized as essential for managing such debt, especially in relation to dynamic data dependencies and model retraining. In parallel, AI-generated artifacts and automated pipelines introduce new governance and maintainability challenges. Conclusion: Technical Debt in AI systems demands continuous, automated, and cross-functional management strategies. As software evolves in response to data and usage, new operational paradigms – grounded in practices like MLOps and Small Language Model Operations (SLMOps) – will be vital to ensure long-term software sustainability. This study provides a foundational map for researchers and practitioners navigating the intersection of AI and TD management. © 2025 The Authors","Multivocal literature review; Technical debt","Engineering education; Industrial research; Information management; Learning systems; Life cycle; Machine learning; Maintainability; Reviews; Software design; Driven system; Literature reviews; Machine-learning; Multivocal literature review; New forms; Software development life-cycle; Software-systems; Technical debts; Traditional approaches; Traditional approachs; Pipelines","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015139846"
"Hegedus C.; Varga P.","Hegedus, Csaba (57193084519); Varga, Pal (8562009900)","57193084519; 8562009900","Tailoring MLOps Techniques for Industry 5.0 Needs","2023","2023 19th International Conference on Network and Service Management, CNSM 2023","","","","","","17","10.23919/CNSM59352.2023.10327814","https://www.scopus.com/pages/publications/85180014841?origin=resultslist","It is a very popular era for machine learning (ML) applications, and Industry5.0 aims to have AI as one of its key technologies. Still, only a few ML initiatives make it to a production-grade implementation, mostly due to lacking proper Continuous Integration and Delivery framework and MLOps practices. This is especially true for industrial use cases, where the trust and reliability of ML applications are mission-critical. Most of these applications fail during the final stage of the development lifecycle, i.e. acceptance testing and validation of the ML application, while being integrated into Cyber-Physical System of Systems (CPSoS). This paper explores the key requirements for deploying ML applications in industrial scenarios, emphasizing the critical role of Digital Twins, edge AI, and responsible-explainable AI techniques in ensuring efficient and responsible operations. Building upon previous models, this paper suggests two process models: (i) the Olympics model for MLOps-coupled CPS engineering and (ii) the MLOps engineering toolchain for industrial applications. © 2023 IFIP.","","Acceptance tests; Artificial intelligence; Embedded systems; Acceptance testing; Continuous integrations; Cybe-physical systems; Cyber-physical systems; Industrial use case; Key technologies; Learning initiatives; Machine learning applications; Machine-learning; Mission critical; Life cycle","Conference paper","Final","","Scopus","2-s2.0-85180014841"
"Rajashekarappa M.; Turanoglu Bekar E.; Karlsson A.; Bokrantz J.; Subramaniyan M.; Skoogh A.","Rajashekarappa, Mohan (57425403500); Turanoglu Bekar, Ebru (57216140703); Karlsson, Alexander (25655035500); Bokrantz, Jon (56786404500); Subramaniyan, Mukund (57191544364); Skoogh, Anders (24588061100)","57425403500; 57216140703; 25655035500; 56786404500; 57191544364; 24588061100","Industrial MLOps: a systematic review of architectures and implementation challenges","2026","Production and Manufacturing Research","14","1","2658878","","","0","10.1080/21693277.2026.2658878","https://www.scopus.com/pages/publications/105035683360?origin=resultslist","The rise of advanced digitalization in Industry 4.0 has enabled manufacturers to leverage data through AI and ML solutions for various manufacturing challenges. However, integrating these models into factory settings remains challenging, as models that perform well on static datasets struggle with dynamic shop floor data. MLOps is an emerging discipline focused on bridging the gap between ML models and production environments; however, in the manufacturing domain, questions remain about how to effectively deploy ML models using MLOps. This article addresses these gaps by conducting a systematic literature review combined with thematic analysis to explore architectures and frameworks used to adopt MLOps in real-world industrial applications, referred to here as industrial MLOps. The study identifies key architectural requirements and outlines seven implementation challenges, with recommendations and architecture mappings to overcome them. Results show that fully automated MLOps frameworks remain underdeveloped, and that modular, scalable architectures are recommended to address model drift, data quality, and integration challenges. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","artificial intelligence (AI); deployment challenges; machine learning (ML); Machine learning operations (MLOps); systematic literature review (SLR)","Architecture; Data integration; Industry 4.0; Machine learning; Artificial intelligence; Deployment challenge; Industrial machines; Machine learning; Machine learning models; Machine learning operation; Machine-learning; Systematic literature review; Learning systems","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035683360"
