"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Antonini M.; Vecchio M.; Antonelli F.","Antonini, Mattia (57191242552); Vecchio, Massimo (24342596400); Antonelli, Fabio (55819863700)","57191242552; 24342596400; 55819863700","A TinyMLOps Framework for Real-world Applications","2025","Charting the Intelligence Frontiers Edge AI Systems Nexus","","","","255","266","0","","https://www.scopus.com/pages/publications/105023926765?origin=resultslist","As devices become smarter, embedding intelligence in microcontrollers and constrained environments is critical. Optimising machine learning models for these tiny devices requires balancing software efficiency, such as accuracy, with hardware constraints like memory and power. We introduce a TinyMLOps-based framework for optimising models across the cloud-todevice continuum. In our approach, cloud resources handle heavy tasks like data labelling and model training, while microcontrollers gather real-time metrics on efficiency and hardware utilisation. Then, some repositories manage models and metadata identified during the optimisation phase, including performance metrics collected directly from the target devices, thus ensuring an accurate exploration of the model space in real-world conditions. Using tools such as MicroPython and MLFlow, our framework enables seamless AI deployment on resource-constrained devices, providing a scalable solution for the future of edge AI. © The Editor(s) and The Author(s) 2025. All rights reserved.","AI workflow; Edge AI; Edge computing; MLOps; Model deployment; Real-time metrics","Artificial intelligence; Computer hardware; Information use; Learning systems; AI workflow; Edge AI; Edge computing; Embeddings; MLOp; Model deployment; Real- time; Real-time metric; Real-world; Work-flows; Efficiency","Book chapter","Final","","Scopus","2-s2.0-105023926765"
"Ipkovich Á.; Czvetkó T.; Acosta L.A.; Lee S.; Nzimenyera I.; Sebestyén V.; Abonyi J.","Ipkovich, Ádám (57375179300); Czvetkó, Tímea (57219716622); Acosta, Lilibeth A. (54966289700); Lee, Sanga (59170499300); Nzimenyera, Innocent (59171065800); Sebestyén, Viktor (55802918800); Abonyi, János (7003663899)","57375179300; 57219716622; 54966289700; 59170499300; 59171065800; 55802918800; 7003663899","Network science and explainable AI-based life cycle management of sustainability models","2024","PLoS ONE","19","6 June","e0300531","","","5","10.1371/journal.pone.0300531","https://www.scopus.com/pages/publications/85195857441?origin=resultslist","Model-based assessment of the potential impacts of variables on the Sustainable Development Goals (SDGs) can bring great additional information about possible policy intervention points. In the context of sustainability planning, machine learning techniques can provide data-driven solutions throughout the modeling life cycle. In a changing environment, existing models must be continuously reviewed and developed for effective decision support. Thus, we propose to use the Machine Learning Operations (MLOps) life cycle framework. A novel approach for model identification and development is introduced, which involves utilizing the Shapley value to determine the individual direct and indirect contributions of each variable towards the output, as well as network analysis to identify key drivers and support the identification and validation of possible policy intervention points. The applicability of the methods is demonstrated through a case study of the Hungarian water model developed by the Global Green Growth Institute. Based on the model exploration of the case of water efficiency and water stress (in the examined period for the SDG 6.4.1 & 6.4.2) SDG indicators, water reuse and water circularity offer a more effective intervention option than pricing and the use of internal or external renewable water resources.  © 2024 Ipkovich et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Artificial Intelligence; Conservation of Natural Resources; Humans; Hungary; Machine Learning; Models, Theoretical; Sustainable Development; Article; artificial intelligence; artificial neural network; climate change; decision support system; electronic health record; food industry; food waste; hidden Markov model; human; life cycle; machine learning; Monte Carlo method; program sustainability; risk assessment; seasonal variation; social network; support vector machine; time series analysis; water supply; artificial intelligence; environmental protection; Hungary; machine learning; procedures; sustainable development; theoretical model","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85195857441"
"Mansour I.J.S.; Mat Rejab M.B.; Mahdin H.B.","Mansour, Ihab J.S. (59490055100); Mat Rejab, Mazidah Binti (57208798664); Mahdin, Hairulnizam Bin (35759460000)","59490055100; 57208798664; 35759460000","Review in Adoption of DevOps, AIOps, DataOps, GitOps, MLOps in IT MLEs in Germany","2024","International Journal of Engineering Trends and Technology","72","12","","64","76","3","10.14445/22315381/IJETT-V72I12P106","https://www.scopus.com/pages/publications/85213209314?origin=resultslist","This paper concerns the problem of inefficiency and complexity of I.T. operations in medium-to-large enterprises in Germany. This looks at MLEs struggling to keep pace with progressively intricate technology environments. Such challenges give way to slow and error-prone processes that have a bearing on agility and innovation; effective solutions are highly required. The reason this problem is important and urgent to solve is that, in the absence of reorganized and efficient operations, such an enterprise will continue to drift on the part of competitiveness, facing rising operation costs, falling productivity, and a failure to quickly respond to market demand changes. Other researchers have attempted to approach and describe methodologies related to solving this problem, such as DevOps, AIOps, DataOps, GitOps, and MLOps. These have been studied in isolation, looking for their benefits to improve some aspect of I.T. operations, like automation, data management, and efficiency in deployment. Very often, however, research efforts have been constrained to one methodology at a time, disregarding the more general context of how such methodologies interact with and can be integrated within an organization. This piecemeal approach has resulted in incomplete solutions that do not tackle the fundamental challenges comprehensively. A holistic approach that emphasizes their integration within one unified framework overcomes the shortcomings of previous methodologies. This framework is underpinned through collaborative organizational culture, strong leadership, and commitment to continuous improvement. Here, the solution proposed aligns these methodologies with the broader business objectives of the enterprise to ensure more effective and sustainable results. Case studies of successful adoptions demonstrate this approach through increased efficiency, reduced complexity, and innovation of operations in I.T. This study will, therefore, be a contribution to practical insights and a holistic roadmap to guide the MLEs in Germany toward successful implementation of these modern methodologies and hence help them to overcome their problems and achieve lasting operational improvements. © 2024 Seventh Sense Research Group®","Agile Methodology; AIOps; CI/CD Pipeline; DataOps; DevOps; GitOps; MLOps; Modern I.T. Enterprise; XOPS","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85213209314"
"Lu Q.; Zhu L.; Xu X.; Whittle J.; Zowghi D.; Jacquet A.","Lu, Qinghua (56431802100); Zhu, Liming (7404202229); Xu, Xiwei (55706225900); Whittle, Jon (23006933800); Zowghi, Didar (6602925723); Jacquet, Aurelie (57901359700)","56431802100; 7404202229; 55706225900; 23006933800; 6602925723; 57901359700","Responsible AI Pattern Catalogue: A Collection of Best Practices for AI Governance and Engineering","2024","ACM Computing Surveys","56","7","","","","96","10.1145/3626234","https://www.scopus.com/pages/publications/85191069804?origin=resultslist","Responsible Artificial Intelligence (RAI) is widely considered as one of the greatest scientific challenges of our time and is key to increase the adoption of Artificial Intelligence (AI). Recently, a number of AI ethics principles frameworks have been published. However, without further guidance on best practices, practitioners are left with nothing much beyond truisms. In addition, significant efforts have been placed at algorithm level rather than system level, mainly focusing on a subset of mathematics-amenable ethical principles, such as fairness. Nevertheless, ethical issues can arise at any step of the development lifecycle, cutting across many AI and non-AI components of systems beyond AI algorithms and models. To operationalize RAI from a system perspective, in this article, we present an RAI Pattern Catalogue based on the results of a multivocal literature review. Rather than staying at the principle or algorithm level, we focus on patterns that AI system stakeholders can undertake in practice to ensure that the developed AI systems are responsible throughout the entire governance and engineering lifecycle. The RAI Pattern Catalogue classifies the patterns into three groups: multi-level governance patterns, trustworthy process patterns, and RAI-by-design product patterns. These patterns provide systematic and actionable guidance for stakeholders to implement RAI.  © 2024 Copyright held by the owner/author(s).","AI engineering; AI governance; best practice; ethical AI; MLOps; pattern; Responsible AI; software architecture; software engineering; trustworthy AI","Life cycle; Philosophical aspects; Product design; Software architecture; Algorithm-level; Artificial intelligence engineering; Artificial intelligence governance; Artificial intelligence systems; Best practices; Ethical artificial intelligence; MLOp; Pattern; Responsible artificial intelligence; Trustworthy artificial intelligence; Artificial intelligence","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191069804"
"Shivarpatna Venkatesh A.P.; Wang J.; Li L.; Bodden E.","Shivarpatna Venkatesh, Ashwin Prasad (59455230000); Wang, Jiawei (57980806500); Li, Li (58855527300); Bodden, Eric (14041233500)","59455230000; 57980806500; 58855527300; 14041233500","Enhancing Comprehension and Navigation in Jupyter Notebooks with Static Analysis","2023","Proceedings - 2023 IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2023","","","","391","401","14","10.1109/SANER56733.2023.00044","https://www.scopus.com/pages/publications/85160510792?origin=resultslist","Jupyter notebooks enable developers to interleave code snippets with rich-text and in-line visualizations. Data scientists use Jupyter notebook as the de-facto standard for creating and sharing machine-learning based solutions, primarily written in Python. Recent studies have demonstrated, however, that a large portion of Jupyter notebooks available on public platforms are undocumented and lacks a narrative structure. This reduces the readability of these notebooks. To address this shortcoming, this paper presents HeaderGen, a novel tool-based approach that automatically annotates code cells with categorical markdown headers based on a taxonomy of machine-learning operations, and classifies and displays function calls according to this taxonomy. For this functionality to be realized, HeaderGen enhances an existing call graph analysis in PyCG. To improve precision, HeaderGen extends PyCG's analysis with support for handling external library code and flow-sensitivity. The former is realized by facilitating the resolution of function return-types. Furthermore, HeaderGen uses type information to perform pattern matching on code syntax to annotate code cells.The evaluation on 15 real-world Jupyter notebooks from Kaggle shows that HeaderGen's underlying call graph analysis yields high accuracy (96.4% precision and 95.9% recall). This is because HeaderGen can resolve return-types of external libraries where existing type inference tools such as pytype (by Google), pyright (by Microsoft), and Jedi fall short. The header generation has a precision of 82.2% and a recall rate of 96.8% with regard to headers created manually by experts. In a user study, HeaderGen helps participants finish comprehension and navigation tasks faster. All participants clearly perceive HeaderGen as useful to their task. © 2023 IEEE.","annotation; code comprehension; jupyter notebook; literate programming; python; static analysis","Codes (symbols); High level languages; Machine learning; Pattern matching; Static analysis; Taxonomies; Annotation; Call graphs; Code comprehension; De facto standard; Graph analysis; Jupyter notebook; Literate programming; Machine-learning; Narrative structures; Rich texts; Python","Conference paper","Final","","Scopus","2-s2.0-85160510792"
"Butt T.A.; Iqbal M.; Arshad N.","Butt, Talal Ashraf (55428190700); Iqbal, Muhammad (57202609807); Arshad, Noor (59753757900)","55428190700; 57202609807; 59753757900","From Policy to Pipeline: A Governance Framework for AI Development and Operations Pipelines","2026","IEEE Access","14","","","1373","1397","1","10.1109/ACCESS.2025.3647479","https://www.scopus.com/pages/publications/105025805961?origin=resultslist","Artificial intelligence systems increasingly operate in high-risk domains where regulatory frameworks such as the EU AI Act, NIST AI RMF, and ISO/IEC 42001 impose explicit evidence and accountability requirements. However, existing engineering practice remains largely manual, retrospective, and decoupled from operational pipelines, resulting in inconsistent provenance, limited reproducibility, and inadequate clause-level traceability. This paper introduces Governance as Evidence for AI Pipelines (GEAP), a pipeline-native governance framework that expresses regulatory and organizational policies as machine-interpretable Governance as Code rules. GEAP integrates governance directly into a unified SDLC–MLOps execution spine by enforcing promotion decisions at five gates—Data, Training, Validation, Release, and Operations—each of which emits signed, content-addressed artifacts into a tamper-evident Evidence Backbone. These artifacts are assembled into a per-run Conformity Bundle, from which the proposed Clause-to-Artifact Traceability mechanism deterministically renders clause coverage across multiple regulatory regimes without manual crosswalks or duplicated documentation. The framework further introduces quantitative governance metrics that measure adequacy, completeness, stability, and evidence hygiene. A detailed synthetic case study of an intensive-care sepsis early-warning system demonstrates GEAP’s ability to standardize promotion control, detect policy violations, and produce replayable, audit-ready compliance manifests in a high-risk clinical context. The results show that governance can operate as a deterministic, reproducible, and verifiable pipeline property rather than an external documentation exercise, enabling more disciplined, transparent, and accountable AI deployment practices. © 2013 IEEE.","AI governance; compliance automation; EU AI Act; evidence management; GEAP; ISO/IEC 42001; MLOps","Artificial intelligence; Compliance control; ISO Standards; Regulatory compliance; AI governance; Artificial intelligence systems; Compliance automation; Development and operations; EU AI act; Evidence management; Governance as evidence for AI pipeline; ISO/IEC; ISO/IEC 42001; MLOp; Pipelines","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025805961"
"Zhou Y.; Yu Y.; Ding B.","Zhou, Yue (57213434365); Yu, Yue (55566298800); Ding, Bo (35073733300)","57213434365; 55566298800; 35073733300","Towards MLOps: A Case Study of ML Pipeline Platform","2020","Proceedings - 2020 International Conference on Artificial Intelligence and Computer Engineering, ICAICE 2020","","","9361315","494","500","103","10.1109/ICAICE51518.2020.00102","https://www.scopus.com/pages/publications/85102659051?origin=resultslist","The development and deployment of machine learning (ML) applications differ significantly from traditional applications in many ways, which have led to an increasing need for efficient and reliable production of ML applications and supported infrastructures. Though platforms such as TensorFlow Extended (TFX), ModelOps, and Kubeflow have provided end-to-end lifecycle management for ML applications by orchestrating its phases into multistep ML pipelines, their performance is still uncertain. To address this, we built a functional ML platform with DevOps capability from existing continuous integration (CI) or continuous delivery (CD) tools and Kubeflow, constructed and ran ML pipelines to train models with different layers and hyperparameters while time and computing resources consumed were recorded. On this basis, we analyzed the time and resource consumption of each step in the ML pipeline, explored the consumption concerning the ML platform and computational models, and proposed potential performance bottlenecks such as GPU utilization. Our work provides a valuable reference for ML pipeline platform construction in practice. © 2020 IEEE.","continuous training; DevOps; end-to-end platform; machine learning; MLOps","Life cycle; Machine learning; Computational model; Computing resource; Continuous integrations; Different layers; Life-cycle management; Performance bottlenecks; Platform construction; Resource consumption; Pipelines","Conference paper","Final","","Scopus","2-s2.0-85102659051"
"Robert W.; Nataliia G.; Jerzy K.; John M.","Robert, Wojtachnik (60002377600); Nataliia, Gavkalova (60002744600); Jerzy, Krawiec (60002560900); John, Martin (60002929100)","60002377600; 60002744600; 60002560900; 60002929100","Best Practices in Teaching Digitization and Process Automation - A Case Study of Warsaw University of Technology","2025","Lecture Notes in Computer Science","15912 LNCS","","","239","253","0","10.1007/978-3-031-97573-8_17","https://www.scopus.com/pages/publications/105010814930?origin=resultslist","This article examines recent advancements in the use of Artificial Intelligence (AI) for automation and robotics, highlighting efficiency gains across sectors. It reviews key trends, including robotic process automation in different areas and compares AI implementation frameworks such as MLOps and DevOps. The study presents educational approaches to teaching automation at Warsaw University of Technology, detailing project structures, tools and practical outcomes. Quantitative results on time savings are discussed in relation to existing research. The paper concludes with insights on incorporating AI into education to better prepare students for the digital future. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","automation; digitization; Low/Zero-Code platforms; MLOps and DevOps; Warsaw University of Technology","Educational robots; Intelligent robots; Best practices; Case-studies; Digitisation; Educational approach; Efficiency gain; Key trends; Low/zero-code platform; MLOp and devops; Process automation; Warsaw University of Technology; Engineering education","Conference paper","Final","","Scopus","2-s2.0-105010814930"
"Li P.; Mavromatis I.; Khan A.","Li, Peizheng (57222485779); Mavromatis, Ioannis (57201548528); Khan, Aftab (57188562365)","57222485779; 57201548528; 57188562365","Past, Present, Future: A Comprehensive Exploration of AI Use Cases in the UMBRELLA IoT Testbed","2024","2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2024","","","","787","792","2","10.1109/PerComWorkshops59983.2024.10502658","https://www.scopus.com/pages/publications/85192459326?origin=resultslist","UMBRELLA is a large-scale, open-access Internet of Things (IoT) ecosystem incorporating over 200 multi-sensor multi-wireless nodes, 20 collaborative robots, and edge-intelligence-enabled devices. This paper provides a guide to the implemented and prospective artificial intelligence (AI) capabilities of UMBRELLA in real-world IoT systems. Four existing UMBRELLA applications are presented in detail: 1) An automated streetlight monitoring for detecting issues and triggering maintenance alerts; 2) A Digital twin of building environments providing enhanced air quality sensing with reduced cost; 3) A large-scale Federated Learning framework for reducing communication overhead; and 4) An intrusion detection for containerised applications identifying malicious activities. Additionally, the potential of UMBRELLA is outlined for future smart city and multi-robot crowdsensing applications enhanced by semantic communications and multi-agent planning. Finally, to realise the above use-cases we discuss the need for a tailored MLOps platform to automate UMBRELLA's model pipelines and establish trust. © 2024 IEEE.","edge intelligence; IoT; MLOps; robotics; use cases; wireless communication","Air quality; Collaborative robots; Industrial robots; Intelligent robots; Intrusion detection; Multi agent systems; Multipurpose robots; Robot programming; Semantics; Collaborative robots; Edge intelligence; Large-scales; MLOp; Multi sensor; OpenAccess; Robot intelligences; Use case; Wireless communications; Wireless nodes; Internet of things","Conference paper","Final","","Scopus","2-s2.0-85192459326"
"Hegedus C.; Varga P.","Hegedus, Csaba (57193084519); Varga, Pal (8562009900)","57193084519; 8562009900","Tailoring MLOps Techniques for Industry 5.0 Needs","2023","2023 19th International Conference on Network and Service Management, CNSM 2023","","","","","","17","10.23919/CNSM59352.2023.10327814","https://www.scopus.com/pages/publications/85180014841?origin=resultslist","It is a very popular era for machine learning (ML) applications, and Industry5.0 aims to have AI as one of its key technologies. Still, only a few ML initiatives make it to a production-grade implementation, mostly due to lacking proper Continuous Integration and Delivery framework and MLOps practices. This is especially true for industrial use cases, where the trust and reliability of ML applications are mission-critical. Most of these applications fail during the final stage of the development lifecycle, i.e. acceptance testing and validation of the ML application, while being integrated into Cyber-Physical System of Systems (CPSoS). This paper explores the key requirements for deploying ML applications in industrial scenarios, emphasizing the critical role of Digital Twins, edge AI, and responsible-explainable AI techniques in ensuring efficient and responsible operations. Building upon previous models, this paper suggests two process models: (i) the Olympics model for MLOps-coupled CPS engineering and (ii) the MLOps engineering toolchain for industrial applications. © 2023 IFIP.","","Acceptance tests; Artificial intelligence; Embedded systems; Acceptance testing; Continuous integrations; Cybe-physical systems; Cyber-physical systems; Industrial use case; Key technologies; Learning initiatives; Machine learning applications; Machine-learning; Mission critical; Life cycle","Conference paper","Final","","Scopus","2-s2.0-85180014841"
